"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2023/01/01","00:00","0.141","-","0.246"
"2023/01/01","00:06","0.132","-","0.241"
"2023/01/01","00:12","0.123","-","0.22"
"2023/01/01","00:18","0.116","-","0.235"
"2023/01/01","00:24","0.109","-","0.225"
"2023/01/01","00:30","0.103","-","0.206"
"2023/01/01","00:36","0.098","-","0.216"
"2023/01/01","00:42","0.093","-","0.218"
"2023/01/01","00:48","0.09","-","0.198"
"2023/01/01","00:54","0.086","-","0.191"
"2023/01/01","01:00","0.084","-","0.182"
"2023/01/01","01:06","0.082","-","0.196"
"2023/01/01","01:12","0.08","-","0.211"
"2023/01/01","01:18","0.079","-","0.223"
"2023/01/01","01:24","0.079","-","0.218"
"2023/01/01","01:30","0.079","-","0.227"
"2023/01/01","01:36","0.079","-","0.228"
"2023/01/01","01:42","0.08","-","0.237"
"2023/01/01","01:48","0.081","-","0.233"
"2023/01/01","01:54","0.082","-","0.249"
"2023/01/01","02:00","0.084","-","0.275"
"2023/01/01","02:06","0.087","-","0.284"
"2023/01/01","02:12","0.09","-","0.302"
"2023/01/01","02:18","0.093","-","0.314"
"2023/01/01","02:24","0.097","-","0.304"
"2023/01/01","02:30","0.101","-","0.323"
"2023/01/01","02:36","0.107","-","0.324"
"2023/01/01","02:42","0.112","-","0.314"
"2023/01/01","02:48","0.119","-","0.345"
"2023/01/01","02:54","0.126","-","0.365"
"2023/01/01","03:00","0.133","-","0.37"
"2023/01/01","03:06","0.142","-","0.397"
"2023/01/01","03:12","0.151","-","0.392"
"2023/01/01","03:18","0.162","-","0.406"
"2023/01/01","03:24","0.173","-","0.424"
"2023/01/01","03:30","0.185","-","0.429"
"2023/01/01","03:36","0.198","-","0.43"
"2023/01/01","03:42","0.211","-","0.454"
"2023/01/01","03:48","0.226","-","0.469"
"2023/01/01","03:54","0.242","-","0.476"
"2023/01/01","04:00","0.258","-","0.515"
"2023/01/01","04:06","0.276","-","0.52"
"2023/01/01","04:12","0.294","-","0.534"
"2023/01/01","04:18","0.314","-","0.571"
"2023/01/01","04:24","0.334","-","0.599"
"2023/01/01","04:30","0.355","-","0.613"
"2023/01/01","04:36","0.377","-","0.634"
"2023/01/01","04:42","0.4","-","0.624"
"2023/01/01","04:48","0.423","-","0.66"
"2023/01/01","04:54","0.447","-","0.684"
"2023/01/01","05:00","0.472","-","0.715"
"2023/01/01","05:06","0.497","-","0.71"
"2023/01/01","05:12","0.523","-","0.726"
"2023/01/01","05:18","0.549","-","0.768"
"2023/01/01","05:24","0.576","-","0.777"
"2023/01/01","05:30","0.602","-","0.8"
"2023/01/01","05:36","0.629","-","0.819"
"2023/01/01","05:42","0.656","-","0.831"
"2023/01/01","05:48","0.683","-","0.869"
"2023/01/01","05:54","0.71","-","0.87"
"2023/01/01","06:00","0.736","-","0.931"
"2023/01/01","06:06","0.762","-","0.951"
"2023/01/01","06:12","0.788","-","0.974"
"2023/01/01","06:18","0.813","-","0.969"
"2023/01/01","06:24","0.837","-","1.012"
"2023/01/01","06:30","0.86","-","1.055"
"2023/01/01","06:36","0.883","-","1.046"
"2023/01/01","06:42","0.905","-","1.042"
"2023/01/01","06:48","0.926","-","1.075"
"2023/01/01","06:54","0.945","-","1.11"
"2023/01/01","07:00","0.964","-","1.107"
"2023/01/01","07:06","0.981","-","1.139"
"2023/01/01","07:12","0.997","-","1.131"
"2023/01/01","07:18","1.012","-","1.15"
"2023/01/01","07:24","1.025","-","1.187"
"2023/01/01","07:30","1.037","-","1.186"
"2023/01/01","07:36","1.047","-","1.198"
"2023/01/01","07:42","1.056","-","1.193"
"2023/01/01","07:48","1.063","-","1.207"
"2023/01/01","07:54","1.069","-","1.186"
"2023/01/01","08:00","1.073","-","1.172"
"2023/01/01","08:06","1.076","-","1.174"
"2023/01/01","08:12","1.077","-","1.187"
"2023/01/01","08:18","1.077","-","1.196"
"2023/01/01","08:24","1.075","-","1.245"
"2023/01/01","08:30","1.071","-","1.223"
"2023/01/01","08:36","1.066","-","1.217"
"2023/01/01","08:42","1.06","-","1.223"
"2023/01/01","08:48","1.052","-","1.207"
"2023/01/01","08:54","1.042","-","1.185"
"2023/01/01","09:00","1.032","-","1.178"
"2023/01/01","09:06","1.02","-","1.18"
"2023/01/01","09:12","1.006","-","1.18"
"2023/01/01","09:18","0.991","-","1.152"
"2023/01/01","09:24","0.976","-","1.138"
"2023/01/01","09:30","0.959","-","1.145"
"2023/01/01","09:36","0.94","-","1.09"
"2023/01/01","09:42","0.921","-","1.057"
"2023/01/01","09:48","0.901","-","1.035"
"2023/01/01","09:54","0.88","-","1.045"
"2023/01/01","10:00","0.859","-","1.035"
"2023/01/01","10:06","0.836","-","1.018"
"2023/01/01","10:12","0.813","-","1.008"
"2023/01/01","10:18","0.79","-","0.966"
"2023/01/01","10:24","0.766","-","0.952"
"2023/01/01","10:30","0.741","-","0.902"
"2023/01/01","10:36","0.717","-","0.878"
"2023/01/01","10:42","0.692","-","0.858"
"2023/01/01","10:48","0.667","-","0.825"
"2023/01/01","10:54","0.643","-","0.817"
"2023/01/01","11:00","0.618","-","0.771"
"2023/01/01","11:06","0.594","-","0.736"
"2023/01/01","11:12","0.57","-","0.708"
"2023/01/01","11:18","0.547","-","0.675"
"2023/01/01","11:24","0.524","-","0.658"
"2023/01/01","11:30","0.501","-","0.633"
"2023/01/01","11:36","0.479","-","0.644"
"2023/01/01","11:42","0.458","-","0.631"
"2023/01/01","11:48","0.438","-","0.578"
"2023/01/01","11:54","0.418","-","0.557"
"2023/01/01","12:00","0.399","-","0.496"
"2023/01/01","12:06","0.381","-","0.475"
"2023/01/01","12:12","0.363","-","0.459"
"2023/01/01","12:18","0.347","-","0.439"
"2023/01/01","12:24","0.331","-","0.421"
"2023/01/01","12:30","0.316","-","0.397"
"2023/01/01","12:36","0.301","-","0.401"
"2023/01/01","12:42","0.288","-","0.368"
"2023/01/01","12:48","0.275","-","0.352"
"2023/01/01","12:54","0.263","-","0.335"
"2023/01/01","13:00","0.251","-","0.317"
"2023/01/01","13:06","0.24","-","0.324"
"2023/01/01","13:12","0.229","-","0.295"
"2023/01/01","13:18","0.219","-","0.303"
"2023/01/01","13:24","0.21","-","0.296"
"2023/01/01","13:30","0.201","-","0.292"
"2023/01/01","13:36","0.192","-","0.274"
"2023/01/01","13:42","0.184","-","0.266"
"2023/01/01","13:48","0.177","-","0.287"
"2023/01/01","13:54","0.169","-","0.264"
"2023/01/01","14:00","0.162","-","0.274"
"2023/01/01","14:06","0.156","-","0.266"
"2023/01/01","14:12","0.15","-","0.244"
"2023/01/01","14:18","0.144","-","0.251"
"2023/01/01","14:24","0.139","-","0.25"
"2023/01/01","14:30","0.134","-","0.245"
"2023/01/01","14:36","0.13","-","0.26"
"2023/01/01","14:42","0.126","-","0.249"
"2023/01/01","14:48","0.123","-","0.249"
"2023/01/01","14:54","0.121","-","0.257"
"2023/01/01","15:00","0.119","-","0.263"
"2023/01/01","15:06","0.118","-","0.237"
"2023/01/01","15:12","0.117","-","0.263"
"2023/01/01","15:18","0.118","-","0.254"
"2023/01/01","15:24","0.119","-","0.258"
"2023/01/01","15:30","0.121","-","0.296"
"2023/01/01","15:36","0.124","-","0.272"
"2023/01/01","15:42","0.127","-","0.282"
"2023/01/01","15:48","0.132","-","0.287"
