"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2022/01/01","00:00","0.841","-","1.117"
"2022/01/01","00:06","0.813","-","1.074"
"2022/01/01","00:12","0.784","-","1.029"
"2022/01/01","00:18","0.754","-","1"
"2022/01/01","00:24","0.723","-","0.969"
"2022/01/01","00:30","0.69","-","0.943"
"2022/01/01","00:36","0.657","-","0.916"
"2022/01/01","00:42","0.622","-","0.886"
"2022/01/01","00:48","0.587","-","0.843"
"2022/01/01","00:54","0.552","-","0.805"
"2022/01/01","01:00","0.516","-","0.783"
"2022/01/01","01:06","0.48","-","0.757"
"2022/01/01","01:12","0.443","-","0.72"
"2022/01/01","01:18","0.407","-","0.686"
"2022/01/01","01:24","0.371","-","0.658"
"2022/01/01","01:30","0.335","-","0.624"
"2022/01/01","01:36","0.3","-","0.583"
"2022/01/01","01:42","0.265","-","0.552"
"2022/01/01","01:48","0.231","-","0.509"
"2022/01/01","01:54","0.198","-","0.474"
"2022/01/01","02:00","0.165","-","0.456"
"2022/01/01","02:06","0.134","-","0.426"
"2022/01/01","02:12","0.104","-","0.402"
"2022/01/01","02:18","0.076","-","0.374"
"2022/01/01","02:24","0.048","-","0.346"
"2022/01/01","02:30","0.023","-","0.3"
"2022/01/01","02:36","-0.001","-","0.29"
"2022/01/01","02:42","-0.024","-","0.281"
"2022/01/01","02:48","-0.045","-","0.26"
"2022/01/01","02:54","-0.064","-","0.219"
"2022/01/01","03:00","-0.081","-","0.214"
"2022/01/01","03:06","-0.097","-","0.205"
"2022/01/01","03:12","-0.111","-","0.197"
"2022/01/01","03:18","-0.123","-","0.176"
"2022/01/01","03:24","-0.133","-","0.171"
"2022/01/01","03:30","-0.141","-","0.161"
"2022/01/01","03:36","-0.148","-","0.152"
"2022/01/01","03:42","-0.153","-","0.157"
"2022/01/01","03:48","-0.157","-","0.16"
"2022/01/01","03:54","-0.159","-","0.158"
"2022/01/01","04:00","-0.16","-","0.153"
"2022/01/01","04:06","-0.159","-","0.159"
"2022/01/01","04:12","-0.157","-","0.163"
"2022/01/01","04:18","-0.153","-","0.164"
"2022/01/01","04:24","-0.148","-","0.178"
"2022/01/01","04:30","-0.142","-","0.172"
"2022/01/01","04:36","-0.135","-","0.178"
"2022/01/01","04:42","-0.127","-","0.195"
"2022/01/01","04:48","-0.118","-","0.207"
"2022/01/01","04:54","-0.109","-","0.24"
"2022/01/01","05:00","-0.098","-","0.224"
"2022/01/01","05:06","-0.086","-","0.227"
"2022/01/01","05:12","-0.074","-","0.244"
"2022/01/01","05:18","-0.06","-","0.261"
"2022/01/01","05:24","-0.046","-","0.279"
"2022/01/01","05:30","-0.032","-","0.313"
"2022/01/01","05:36","-0.016","-","0.332"
"2022/01/01","05:42","0","-","0.327"
"2022/01/01","05:48","0.017","-","0.342"
"2022/01/01","05:54","0.035","-","0.353"
"2022/01/01","06:00","0.053","-","0.365"
"2022/01/01","06:06","0.072","-","0.375"
"2022/01/01","06:12","0.092","-","0.399"
"2022/01/01","06:18","0.112","-","0.425"
"2022/01/01","06:24","0.134","-","0.45"
"2022/01/01","06:30","0.156","-","0.477"
"2022/01/01","06:36","0.179","-","0.495"
"2022/01/01","06:42","0.202","-","0.515"
"2022/01/01","06:48","0.227","-","0.524"
"2022/01/01","06:54","0.252","-","0.551"
"2022/01/01","07:00","0.278","-","0.579"
"2022/01/01","07:06","0.305","-","0.621"
"2022/01/01","07:12","0.332","-","0.635"
"2022/01/01","07:18","0.361","-","0.662"
"2022/01/01","07:24","0.39","-","0.683"
"2022/01/01","07:30","0.42","-","0.715"
"2022/01/01","07:36","0.45","-","0.737"
"2022/01/01","07:42","0.481","-","0.76"
"2022/01/01","07:48","0.513","-","0.801"
"2022/01/01","07:54","0.546","-","0.834"
"2022/01/01","08:00","0.579","-","0.869"
"2022/01/01","08:06","0.613","-","0.908"
"2022/01/01","08:12","0.647","-","0.928"
"2022/01/01","08:18","0.681","-","0.954"
"2022/01/01","08:24","0.716","-","0.995"
"2022/01/01","08:30","0.751","-","1.048"
"2022/01/01","08:36","0.786","-","1.096"
"2022/01/01","08:42","0.821","-","1.136"
"2022/01/01","08:48","0.856","-","1.165"
"2022/01/01","08:54","0.891","-","1.198"
"2022/01/01","09:00","0.926","-","1.232"
"2022/01/01","09:06","0.96","-","1.244"
"2022/01/01","09:12","0.993","-","1.272"
"2022/01/01","09:18","1.026","-","1.321"
"2022/01/01","09:24","1.058","-","1.365"
"2022/01/01","09:30","1.09","-","1.403"
"2022/01/01","09:36","1.12","-","1.429"
"2022/01/01","09:42","1.149","-","1.451"
"2022/01/01","09:48","1.177","-","1.489"
"2022/01/01","09:54","1.203","-","1.501"
"2022/01/01","10:00","1.228","-","1.507"
"2022/01/01","10:06","1.251","-","1.55"
"2022/01/01","10:12","1.272","-","1.588"
"2022/01/01","10:18","1.292","-","1.599"
"2022/01/01","10:24","1.309","-","1.621"
"2022/01/01","10:30","1.325","-","1.636"
"2022/01/01","10:36","1.338","-","1.656"
"2022/01/01","10:42","1.349","-","1.67"
"2022/01/01","10:48","1.358","-","1.678"
"2022/01/01","10:54","1.365","-","1.688"
"2022/01/01","11:00","1.369","-","1.705"
"2022/01/01","11:06","1.371","-","1.708"
"2022/01/01","11:12","1.371","-","1.696"
"2022/01/01","11:18","1.368","-","1.686"
"2022/01/01","11:24","1.363","-","1.691"
"2022/01/01","11:30","1.355","-","1.69"
"2022/01/01","11:36","1.345","-","1.686"
"2022/01/01","11:42","1.333","-","1.685"
"2022/01/01","11:48","1.318","-","1.656"
"2022/01/01","11:54","1.302","-","1.649"
"2022/01/01","12:00","1.282","-","1.628"
"2022/01/01","12:06","1.261","-","1.599"
"2022/01/01","12:12","1.238","-","1.562"
"2022/01/01","12:18","1.213","-","1.568"
"2022/01/01","12:24","1.186","-","1.531"
"2022/01/01","12:30","1.157","-","1.521"
"2022/01/01","12:36","1.126","-","1.501"
"2022/01/01","12:42","1.094","-","1.478"
"2022/01/01","12:48","1.06","-","1.428"
"2022/01/01","12:54","1.025","-","1.377"
"2022/01/01","13:00","0.989","-","1.331"
"2022/01/01","13:06","0.951","-","1.297"
"2022/01/01","13:12","0.913","-","1.278"
"2022/01/01","13:18","0.873","-","1.245"
"2022/01/01","13:24","0.833","-","1.199"
"2022/01/01","13:30","0.792","-","1.159"
"2022/01/01","13:36","0.751","-","1.132"
"2022/01/01","13:42","0.71","-","1.087"
"2022/01/01","13:48","0.668","-","1.037"
"2022/01/01","13:54","0.627","-","0.983"
"2022/01/01","14:00","0.585","-","0.949"
"2022/01/01","14:06","0.544","-","0.92"
"2022/01/01","14:12","0.503","-","0.883"
"2022/01/01","14:18","0.463","-","0.831"
"2022/01/01","14:24","0.423","-","0.785"
"2022/01/01","14:30","0.385","-","0.753"
"2022/01/01","14:36","0.347","-","0.708"
"2022/01/01","14:42","0.311","-","0.67"
"2022/01/01","14:48","0.275","-","0.629"
"2022/01/01","14:54","0.241","-","0.598"
"2022/01/01","15:00","0.208","-","0.57"
"2022/01/01","15:06","0.177","-","0.526"
"2022/01/01","15:12","0.147","-","0.492"
"2022/01/01","15:18","0.119","-","0.449"
"2022/01/01","15:24","0.092","-","0.421"
"2022/01/01","15:30","0.067","-","0.401"
"2022/01/01","15:36","0.044","-","0.363"
"2022/01/01","15:42","0.022","-","0.36"
"2022/01/01","15:48","0.002","-","0.349"
"2022/01/01","15:54","-0.016","-","0.328"
"2022/01/01","16:00","-0.033","-","0.323"
"2022/01/01","16:06","-0.048","-","0.287"
"2022/01/01","16:12","-0.062","-","0.295"
"2022/01/01","16:18","-0.074","-","0.293"
"2022/01/01","16:24","-0.085","-","0.267"
"2022/01/01","16:30","-0.095","-","0.26"
"2022/01/01","16:36","-0.103","-","0.25"
"2022/01/01","16:42","-0.11","-","0.249"
"2022/01/01","16:48","-0.116","-","0.247"
"2022/01/01","16:54","-0.12","-","0.249"
"2022/01/01","17:00","-0.124","-","0.206"
"2022/01/01","17:06","-0.126","-","0.203"
"2022/01/01","17:12","-0.128","-","0.192"
"2022/01/01","17:18","-0.128","-","0.191"
"2022/01/01","17:24","-0.128","-","0.186"
"2022/01/01","17:30","-0.127","-","0.179"
"2022/01/01","17:36","-0.124","-","0.191"
"2022/01/01","17:42","-0.121","-","0.191"
"2022/01/01","17:48","-0.118","-","0.184"
"2022/01/01","17:54","-0.113","-","0.182"
"2022/01/01","18:00","-0.107","-","0.168"
"2022/01/01","18:06","-0.101","-","0.183"
"2022/01/01","18:12","-0.093","-","0.181"
"2022/01/01","18:18","-0.085","-","0.19"
